"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TG","TG",1.97812777527107e-51,1.48990535186625,0.067,0.02,5.28892023274225e-47
"DPYD","DPYD",2.1135183366996e-51,-0.257579449208813,0.793,0.83,5.65091397683373e-47
"ENSG00000225313","ENSG00000225313",2.1951199944349e-51,1.19986506782047,0.096,0.039,5.8690923291206e-47
"ZBTB20","ZBTB20",2.32610224787828e-51,-0.189751333040215,0.951,0.975,6.21929958015216e-47
"ZNF846","ZNF846",2.6986390888877e-51,0.895448425322846,0.213,0.13,7.21535133195903e-47
"SLC7A7","SLC7A7",3.26903410492577e-51,1.11211623055485,0.095,0.038,8.74041648634002e-47
"HPN-AS1","HPN-AS1",3.77239153831256e-51,-0.745459269394601,0.188,0.284,1.00862432559863e-46
"HDAC2-AS2","HDAC2-AS2",3.91868002147523e-51,-0.260421884852456,0.455,0.583,1.04773747734183e-46
"VWA1","VWA1",4.38563963248859e-51,-0.579067083833926,0.205,0.309,1.17258846853847e-46
"ZNF217","ZNF217",5.32250227125903e-51,1.18909010062899,0.102,0.043,1.42307743226653e-46
"HPS3","HPS3",5.36611173700504e-51,0.833178225535442,0.248,0.16,1.43473729512304e-46
"ATP8B1","ATP8B1",5.42274268907531e-51,1.35943911878219,0.094,0.038,1.44987871277807e-46
"GLYATL1-AS1","GLYATL1-AS1",5.47480535237327e-51,2.8415683904677,0.039,0.006,1.46379870706404e-46
"GAS6","GAS6",5.96271650215297e-51,0.909496376456551,0.172,0.096,1.59425151118064e-46
"MS4A4A","MS4A4A",6.47427549607472e-51,1.89122600587613,0.061,0.018,1.7310270393855e-46
"GSTA4","GSTA4",6.70364823531265e-51,-0.712364735139492,0.154,0.246,1.79235442867554e-46
"KHDRBS3","KHDRBS3",6.74878254175134e-51,0.607900039954516,0.485,0.381,1.80442198818806e-46
"RHOQ","RHOQ",6.95881105252563e-51,0.707339762863734,0.346,0.251,1.86057731111378e-46
"HCN2","HCN2",1.03192949596069e-50,-0.562786033402207,0.201,0.302,2.75906989335009e-46
"TIAM2","TIAM2",1.05691893228749e-50,0.576562579013612,0.453,0.361,2.82588414925706e-46
"ANAPC5","ANAPC5",1.1238795746872e-50,-0.433648366834111,0.442,0.544,3.00491681884116e-46
